#[1] Location, [2] Parameter, [3] Interesting, [4] Unimodal, [5] Convex, [6] Trivially Convex, [7] % Instances Interesting, [8] % Instances Unimodal, [9] % Instances Convex, [10] % Instances Trivially Convex, [11] Average number of modes per instance, [12] Fitness Distance Correlation (Median), [13] Fitness Distance Correlation (Q2.5), [14] Fitness Distance Correlation (Q97.5), [15] Average Instance Fitness Distance Correlation (Median), [16] Average Instance Fitness Distance Correlation (Q2.5), [17] Average Instance Fitness Distance Correlation (Q97.5)
scenarios/CaDiCaL/slices-circuit-fuzz, probeint, 0, 1, 1, 0, 91.08061749571183, 100.0, 99.31389365351629, 3.6020583190394513, 1.0, 0.04064505266825912, -0.40383637437362513, 0.5059467205358569, 0.13718738700395192, 0.11898058916458827, 0.15622235018293248
scenarios/CaDiCaL/slices-circuit-fuzz, probemaxeff, 0, 1, 1, 0, 91.42367066895369, 100.0, 99.82847341337907, 3.7735849056603774, 1.0, 0.06303050268503166, -0.25193102218862323, 0.6477721202389605, 0.14370690358341287, 0.12524138362930926, 0.1629573520091135
scenarios/CaDiCaL/slices-circuit-fuzz, probemineff, 0, 1, 1, 0, 93.13893653516296, 100.0, 99.48542024013722, 3.7735849056603774, 1.0, 0.276787136830712, -0.18691023120938668, 0.660660303285969, 0.14098447123370847, 0.1219384213668511, 0.16024680152254206
scenarios/CaDiCaL/slices-circuit-fuzz, probereleff, 0, 1, 1, 0, 90.73756432246998, 100.0, 99.82847341337907, 3.7735849056603774, 1.0, 0.20953003819709998, -0.2318714615068368, 0.6517190414440033, 0.1461908045408467, 0.12645834507845305, 0.1646454585867236
scenarios/CaDiCaL/slices-circuit-fuzz, reduceinc, 1, 1, 1, 0, 97.59862778730704, 19.554030874785592, 15.780445969125214, 3.6020583190394513, 3.0926243567753002, 0.8094905660306824, 0.661316832951003, 0.9034210806515925, 0.37294913400384894, 0.36588808619543, 0.3806855988249036
scenarios/CaDiCaL/slices-circuit-fuzz, reduceinit, 1, 1, 1, 0, 98.28473413379074, 13.550600343053173, 7.375643224699828, 3.0874785591766725, 3.0291595197255576, 0.8260797299417378, 0.6584119949474457, 0.928622843664433, 0.49789014792489855, 0.4915603926545489, 0.5043743853075731
scenarios/CaDiCaL/slices-circuit-fuzz, rephaseint, 0, 1, 1, 0, 91.59519725557462, 100.0, 99.65694682675816, 3.7735849056603774, 1.0, 0.056764430373481826, -0.4389469896336265, 0.661073818078854, 0.1408516891095723, 0.12424357367536937, 0.15904198046045384
scenarios/CaDiCaL/slices-circuit-fuzz, restartint, 0, 1, 1, 0, 92.7958833619211, 100.0, 99.48542024013722, 3.7735849056603774, 1.0, 0.17634141025157435, -0.3898895866247394, 0.7332031498542498, 0.1452303083842984, 0.1261456037428991, 0.16554179797429155
scenarios/CaDiCaL/slices-circuit-fuzz, restartmargin, 1, 1, 1, 0, 97.08404802744425, 100.0, 96.0548885077187, 3.6020583190394513, 1.0, 0.47374544971273136, -0.21648994312400363, 0.6784855941697424, 0.4601156508337783, 0.44224654740095753, 0.47736892848039253
scenarios/CaDiCaL/slices-circuit-fuzz, subsumebinlim, 0, 1, 1, 0, 92.45283018867924, 99.82847341337907, 99.65694682675816, 3.7735849056603774, 1.0017152658662092, 0.09606062240105735, -0.37906035264110133, 0.5640022257804719, 0.164803609265764, 0.14752441505788338, 0.1809866948892374
scenarios/CaDiCaL/slices-circuit-fuzz, subsumeclslim, 0, 1, 1, 0, 92.7958833619211, 100.0, 99.65694682675816, 3.7735849056603774, 1.0, 0.24523786214478965, -0.2037317584182413, 0.5908198612312263, 0.1536850445705231, 0.13571839145331133, 0.17267894201199052
scenarios/CaDiCaL/slices-circuit-fuzz, subsumeinc, 0, 1, 1, 0, 91.76672384219555, 95.19725557461408, 91.93825042881647, 3.2590051457975986, 1.085763293310463, 0.2552389218472141, -0.1843031146587713, 0.6480430900164253, 0.20763616502132143, 0.19193189289484397, 0.22461189657929795
scenarios/CaDiCaL/slices-circuit-fuzz, subsumeinit, 0, 1, 1, 0, 92.45283018867924, 97.25557461406518, 97.77015437392797, 3.430531732418525, 1.0617495711835334, 0.2147015936628068, -0.12821440330416972, 0.4991956068168551, 0.14669195807968832, 0.12872339306488087, 0.1636103348992467
scenarios/CaDiCaL/slices-circuit-fuzz, subsumeocclim, 0, 1, 1, 0, 90.39451114922814, 99.82847341337907, 97.42710120068611, 3.6020583190394513, 1.0017152658662092, 0.10300088040035099, -0.24483384086601154, 0.5999500207896288, 0.137404045116389, 0.11941358792523422, 0.15689156259186957
scenarios/CaDiCaL/slices-circuit-fuzz, transredmaxeff, 0, 1, 1, 0, 91.42367066895369, 100.0, 100.0, 3.7735849056603774, 1.0, 0.05414936519448047, -0.40386985028790195, 0.5674705168311026, 0.14929496729064307, 0.13148276870003736, 0.16741451360467693
scenarios/CaDiCaL/slices-circuit-fuzz, transredmineff, 0, 1, 1, 0, 92.7958833619211, 100.0, 99.82847341337907, 3.7735849056603774, 1.0, 0.1254824259900903, -0.2375134576570736, 0.4546116444378294, 0.15137334295681903, 0.13276146851627313, 0.16871682770287802
scenarios/CaDiCaL/slices-circuit-fuzz, transredreleff, 0, 1, 1, 0, 91.42367066895369, 100.0, 100.0, 3.7735849056603774, 1.0, 0.21518930071178682, -0.24522735457035647, 0.5765577691489865, 0.15677589978273146, 0.13860806930915348, 0.17342812767842453
scenarios/CaDiCaL/slices-circuit-fuzz, vivifymaxeff, 0, 1, 1, 0, 91.93825042881647, 99.82847341337907, 99.65694682675816, 3.7735849056603774, 1.0017152658662092, 0.21261171176882415, -0.21735880623904916, 0.6126736143007899, 0.17689601717571005, 0.15940585232032356, 0.194045373054007
scenarios/CaDiCaL/slices-circuit-fuzz, vivifymineff, 0, 1, 1, 0, 91.93825042881647, 100.0, 100.0, 3.6020583190394513, 1.0, 0.04961091913981077, -0.3580896967128452, 0.5764470836058488, 0.14599599927665569, 0.12703628009089954, 0.16390554727928322
scenarios/CaDiCaL/slices-circuit-fuzz, vivifyreleff, 0, 1, 1, 0, 92.7958833619211, 99.82847341337907, 99.82847341337907, 3.7735849056603774, 1.0017152658662092, 0.14899332442144328, -0.29803932450392073, 0.5346435777070627, 0.12989097021088258, 0.11177670777639065, 0.14814577717994046
scenarios/CaDiCaL/slices-BMC08, compactint, 0, 1, 1, 0, 84.67966573816156, 89.27576601671309, 83.28690807799443, 10.445682451253482, 1.1713091922005572, 0.12298142359097058, -0.30045047672466824, 0.5056494583451553, 0.22657938100842157, 0.21087526742005042, 0.24156329029141735
scenarios/CaDiCaL/slices-BMC08, compactlim, 0, 1, 1, 0, 82.03342618384401, 98.32869080779945, 96.37883008356546, 10.445682451253482, 1.0167130919220055, 0.5548585883524799, 0.0641299260691864, 0.8588082825960882, 0.2730557159897156, 0.2561988947542162, 0.29002893843742483
scenarios/CaDiCaL/slices-BMC08, compactmin, 0, 1, 1, 0, 81.19777158774373, 99.86072423398329, 99.44289693593315, 10.584958217270195, 1.001392757660167, 0.23347119940498098, -0.18602515246360563, 0.6381245522422896, 0.15901769632770102, 0.1430024388664258, 0.17678139401821957
scenarios/CaDiCaL/slices-BMC08, decomposerounds, 0, 1, 1, 0, 80.77994428969359, 99.72144846796658, 98.32869080779945, 10.584958217270195, 1.0027855153203342, 0.33954267491295964, -0.18104888671270855, 0.6827394149528837, 0.20290049872541197, 0.18815260113763702, 0.21746478511984194
scenarios/CaDiCaL/slices-BMC08, elimclslim, 0, 1, 1, 0, 80.9192200557103, 99.025069637883, 97.49303621169916, 10.584958217270195, 1.011142061281337, 0.5669367429107366, -0.13630649897437253, 0.7929246718883173, 0.1623004669854734, 0.14595395441806183, 0.18006874470815473
scenarios/CaDiCaL/slices-BMC08, eliminit, 0, 1, 1, 0, 85.65459610027855, 93.59331476323119, 76.74094707520891, 10.445682451253482, 1.0668523676880224, 0.6752155114045529, -0.030015838894030557, 0.9509351430903483, 0.3541124160058383, 0.3377496318996214, 0.37116185871963714
scenarios/CaDiCaL/slices-BMC08, elimint, 0, 1, 1, 0, 83.983286908078, 91.92200557103064, 88.16155988857939, 10.445682451253482, 1.1197771587743732, 0.06505236874055607, -0.35371391566620775, 0.5282241551410345, 0.14335185430861477, 0.1251549384681639, 0.15989780993648312
scenarios/CaDiCaL/slices-BMC08, elimocclim, 0, 1, 1, 0, 82.03342618384401, 96.23955431754875, 90.11142061281338, 10.445682451253482, 1.0612813370473537, 0.04332457428289662, -0.3471847767925436, 0.5509377428006561, 0.17278586671783613, 0.15673413340621645, 0.19026140415884116
scenarios/CaDiCaL/slices-BMC08, elimrounds, 0, 1, 1, 0, 83.42618384401115, 95.12534818941504, 91.36490250696379, 10.445682451253482, 1.0668523676880224, 0.16673098266907588, -0.3131261909160543, 0.7276199948290074, 0.22144497635781293, 0.2050486642707747, 0.2373800478176181
scenarios/CaDiCaL/slices-BMC08, elimroundsinit, 0, 1, 1, 0, 84.95821727019498, 93.87186629526462, 77.15877437325905, 10.30640668523677, 1.0682451253481895, 0.041002011840979395, -0.360903184289789, 0.6215498924103404, 0.19401894031314137, 0.1790078545289281, 0.20938579921582878
scenarios/CaDiCaL/slices-BMC08, emagluefast, 0, 1, 1, 0, 88.57938718662953, 64.76323119777159, 50.41782729805014, 10.445682451253482, 1.6448467966573816, 0.7496199371237121, 0.35809034250760546, 0.9248559790689502, 0.331895098964151, 0.3196297530638233, 0.34394234730404705
