#[1] Location, [2] Parameter, [3] Interesting, [4] Unimodal, [5] Convex, [6] Trivially Convex, [7] % Instances Interesting, [8] % Instances Unimodal, [9] % Instances Convex, [10] % Instances Trivially Convex, [11] Average number of modes per instance, [12] Fitness Distance Correlation (Median), [13] Fitness Distance Correlation (Q2.5), [14] Fitness Distance Correlation (Q97.5), [15] Average Instance Fitness Distance Correlation (Median), [16] Average Instance Fitness Distance Correlation (Q2.5), [17] Average Instance Fitness Distance Correlation (Q97.5)
scenarios/CaDiCaL/slices-BMC08, vivifymineff, 0, 1, 1, 0, 78.4122562674, 99.860724234, 99.860724234, 10.5849582173, 1.00139275766, 0.332388362812, -0.0844226540446, 0.660584606581, 0.156270037821, 0.138851881551, 0.173668700283
scenarios/CaDiCaL/slices-BMC08, vivifyreleff, 0, 1, 1, 0, 79.6657381616, 100.0, 100.0, 10.5849582173, 1.0, 0.14081386107, -0.312868451511, 0.532269245414, 0.159525396957, 0.142369884488, 0.175933892266
scenarios/CaDiCaL/slices-circuit-fuzz, compactint, 0, 1, 1, 0, 90.7375643225, 100.0, 99.8284734134, 3.77358490566, 1.0, 0.138044513846, -0.244000372269, 0.449789720113, 0.159860996976, 0.140815938873, 0.178454003676
scenarios/CaDiCaL/slices-circuit-fuzz, compactlim, 0, 1, 1, 0, 90.5660377358, 100.0, 99.8284734134, 3.77358490566, 1.0, 0.134955766171, -0.269282021586, 0.593028787722, 0.160503756945, 0.141279885953, 0.177792119793
scenarios/CaDiCaL/slices-circuit-fuzz, compactmin, 0, 1, 1, 0, 91.5951972556, 100.0, 99.3138936535, 3.77358490566, 1.0, 0.137371702997, -0.256251190579, 0.574167815515, 0.140601833041, 0.122246908678, 0.158724987508
scenarios/CaDiCaL/slices-circuit-fuzz, decomposerounds, 0, 1, 1, 0, 91.423670669, 100.0, 100.0, 3.77358490566, 1.0, 0.167697607752, -0.254048524778, 0.518976114745, 0.156717852809, 0.139430039447, 0.173765075332
scenarios/CaDiCaL/slices-circuit-fuzz, elimclslim, 0, 1, 1, 0, 91.5951972556, 99.8284734134, 99.4854202401, 3.77358490566, 1.00171526587, 0.04808008969, -0.348332148311, 0.525416623958, 0.141241388209, 0.12397757186, 0.158616664477
scenarios/CaDiCaL/slices-circuit-fuzz, eliminit, 0, 1, 1, 0, 98.2847341338, 36.8782161235, 12.5214408233, 3.08747855918, 1.8936535163, 0.412428807205, -0.0889944375103, 0.761748503415, 0.362869028876, 0.351363963663, 0.373171711584
scenarios/CaDiCaL/slices-circuit-fuzz, elimint, 0, 1, 1, 0, 97.2555746141, 48.1989708405, 39.6226415094, 2.91595197256, 1.99313893654, 0.178925278437, -0.152242017494, 0.4716534374, 0.0789446568471, 0.0635283398866, 0.0942576011167
scenarios/CaDiCaL/slices-circuit-fuzz, elimocclim, 0, 1, 1, 0, 92.7958833619, 99.8284734134, 99.6569468268, 3.77358490566, 1.00171526587, 0.0873243319731, -0.375453124623, 0.588786522808, 0.162309318694, 0.146483174668, 0.179336638422
scenarios/CaDiCaL/slices-circuit-fuzz, elimrounds, 0, 1, 1, 0, 92.4528301887, 97.7701543739, 85.077186964, 3.77358490566, 1.02229845626, -0.000590494880424, -0.212947645469, 0.47122101843, 0.114109022062, 0.0970834160674, 0.130094087268
scenarios/CaDiCaL/slices-circuit-fuzz, elimroundsinit, 0, 1, 1, 0, 90.9090909091, 100.0, 99.8284734134, 3.77358490566, 1.0, 0.115949724818, -0.372546636063, 0.62328919086, 0.146048046794, 0.128521277889, 0.164591142186
scenarios/CaDiCaL/slices-circuit-fuzz, emagluefast, 0, 1, 1, 0, 91.2521440823, 99.8284734134, 99.8284734134, 3.77358490566, 1.00171526587, 0.303407115897, -0.23608810762, 0.798784981324, 0.150274416231, 0.131985548991, 0.168870243513
scenarios/CaDiCaL/slices-circuit-fuzz, emaglueslow, 0, 1, 1, 0, 93.3104631218, 99.6569468268, 99.1423670669, 3.77358490566, 1.00343053173, 0.0758833864982, -0.375294935668, 0.576508922891, 0.142203401935, 0.123487716971, 0.159378094031
